error,0.cx,0.cy,0.r,1.cx,1.cy,1.r
1.2527759385427828e-10,0.0,0.0,1.0,1.112604611573994,0.0,0.7745966692038302
1.3277862143112884e-10,0.0,0.0,1.0,1.1126046116200274,0.0,0.7745966692928548
4.1277870010958395e-11,0.0,0.0,1.0,1.1126046117049728,0.0,0.7745966692290771
4.374936524165207e-11,0.0,0.0,1.0,1.1126046117201405,0.0,0.77459666925841
1.3600370829536246e-11,0.0,0.0,1.0,1.1126046117481292,0.0,0.7745966692373958
1.4414885951552492e-11,0.0,0.0,1.0,1.1126046117531267,0.0,0.7745966692470605
4.481193194294519e-12,0.0,0.0,1.0,1.1126046117623487,0.0,0.7745966692401366
4.749506343770804e-12,0.0,0.0,1.0,1.1126046117639954,0.0,0.774596669243321
1.4761802891172238e-12,0.0,0.0,1.0,1.1126046117670338,0.0,0.7745966692410398
1.5646095530286175e-12,0.0,0.0,1.0,1.1126046117675763,0.0,0.7745966692420888
4.86471973815128e-13,0.0,0.0,1.0,1.1126046117685773,0.0,0.7745966692413373
5.157541060896165e-13,0.0,0.0,1.0,1.112604611768756,0.0,0.774596669241683
1.6014967130217883e-13,0.0,0.0,1.0,1.112604611769086,0.0,0.7745966692414353
1.7003065622134272e-13,0.0,0.0,1.0,1.1126046117691448,0.0,0.7745966692415491
5.3013149425851225e-14,0.0,0.0,1.0,1.1126046117692536,0.0,0.7745966692414674
5.592748486549226e-14,0.0,0.0,1.0,1.1126046117692732,0.0,0.774596669241505
1.7208456881689926e-14,0.0,0.0,1.0,1.112604611769309,0.0,0.7745966692414782
1.8540724511240114e-14,0.0,0.0,1.0,1.1126046117693151,0.0,0.7745966692414904
6.022959908591474e-15,0.0,0.0,1.0,1.112604611769327,0.0,0.7745966692414815
6.189493362285248e-15,0.0,0.0,1.0,1.1126046117693291,0.0,0.7745966692414858
1.6930901125533637e-15,0.0,0.0,1.0,1.1126046117693331,0.0,0.7745966692414828
1.942890293094024e-15,0.0,0.0,1.0,1.1126046117693338,0.0,0.7745966692414841
5.828670879282072e-16,0.0,0.0,1.0,1.1126046117693351,0.0,0.7745966692414832
4.718447854656915e-16,0.0,0.0,1.0,1.1126046117693353,0.0,0.7745966692414836
3.608224830031759e-16,0.0,0.0,1.0,1.1126046117693353,0.0,0.7745966692414833
4.996003610813204e-16,0.0,0.0,1.0,1.1126046117693356,0.0,0.7745966692414835
2.498001805406602e-16,0.0,0.0,1.0,1.1126046117693358,0.0,0.7745966692414833
1.6653345369377348e-16,0.0,0.0,1.0,1.1126046117693358,0.0,0.7745966692414835
1.1102230246251565e-16,0.0,0.0,1.0,1.1126046117693358,0.0,0.7745966692414834
