error,0.cx,0.cy,0.rx,0.ry,0.t,1.cx,1.cy,1.rx,1.ry,1.t,2.cx,2.cy,2.rx,2.ry,2.t
0.968028091498466,-0.08032823531731445,-3.17406408112939e-15,1.4129753850222873,1.582466053626693,-1.307579770425009e-16,-1.6979288022395296,1.0288360422894076e-15,1.7924074227787976,2.2076292882743576,-4.1986799217155724e-16,3.278257037556846,2.184782661390278e-15,3.637316140104372,2.5850100625300025,-1.3642909045756139e-15
0.953978359023008,-0.13639470661452138,-3.4391047523113713e-15,1.4492666182768084,1.6242725876194373,-8.793492217347327e-17,-1.6593799130458184,1.1059189577386237e-15,1.814016574827823,2.2021527970773107,-4.698113189214021e-16,3.295774619660342,2.3715659234476708e-15,3.616454757686161,2.5640943379518113,-1.5939004634164787e-15
0.9312955089097771,-0.10657962567088969,-3.4827448651149447e-15,1.4812004595953165,1.6522723808391693,-8.991038927514662e-17,-1.6793764857078604,1.1878716394457473e-15,1.8453744250919382,2.2420662155943267,-4.886829327920675e-16,3.285956111378752,2.3327679480310365e-15,3.5913611242842536,2.512078021375672,-1.472949917557986e-15
0.9126413360396755,-0.1584588252581703,-3.752359545823839e-15,1.5165525425731032,1.695167882377788,-8.024125678694108e-17,-1.6429477212110521,1.2645700240771374e-15,1.8644995641780873,2.235615725711734,-5.535744608228716e-16,3.3014065464692246,2.5269424783441115e-15,3.571003804592459,2.4896214628871673,-1.7015309692337966e-15
0.8934537664383986,-0.12867998755441643,-3.8253706641702035e-15,1.547790431688773,1.7209669385007278,-8.143144558052592e-17,-1.6623472824262817,1.3600342719237611e-15,1.893036671397527,2.2725436166951543,-5.871071158957751e-16,3.2910272699807006,2.502619421943535e-15,3.5472202211020467,2.438894753217531,-1.5991384791522032e-15
0.8872035279340778,-0.17661793633566428,-4.111235678276047e-15,1.582185948115507,1.7640586768377249,-4.547993920520425e-17,-1.6279435617245557,1.451955866666665e-15,1.9098007413537137,2.265252846433378,-6.50273181126578e-16,3.3045614980602225,2.691168847580731e-15,3.5275727933773697,2.415281244063301,-1.82641527748803e-15
0.8770947385494714,-0.11494490840557203,-4.200893849480415e-15,1.5817990141991032,1.7673448564788603,-4.8881946056438814e-17,-1.6636134483095721,1.6280937959788232e-15,1.9256380117068863,2.2952856216495348,-7.2159652329223e-16,3.2785583567151466,2.60603057303652e-15,3.532169936410411,2.3847138542672868,-1.556371706811584e-15
0.8743800245191822,-0.12915735601072217,-5.0514012927383995e-15,1.585921696577622,1.8292761051541426,6.908965397163737e-17,-1.6305448316331512,2.1319179453575466e-15,1.9454118895947943,2.273809521198981,-1.035788582007733e-15,3.259702187643876,2.955975532797946e-15,3.558641497834507,2.3594864714847934,-1.6823207688635531e-15
1.1250606349169405,-0.1387242659599524,1.139335728781083e-15,1.590094307098865,1.8835497621471964,-2.5643546467294642e-15,-1.6573290207069549,-1.8180974110529378e-15,1.9138896928488236,2.253093398781687,2.0485769478058516e-15,3.29605328666691,7.268690194866043e-16,3.5333389240244184,2.337372766611917,-4.582582522855466e-16
1.1268354048840736,-0.22161693776432118,1.2151120647357077e-15,1.590094307098865,1.8835497621471964,-2.5642440137876593e-15,-1.6044209427079357,-1.806631229493476e-15,1.9462003423609773,2.2532311305371024,2.0682936930312853e-15,3.3260378804722595,6.396773360826281e-16,3.5656509037175823,2.3372400010927143,-3.5178243878846207e-16
